GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2013092902,2013-09-29,4,0,0,,CHI,0,0,0,,1,,0,"END GAME",0,,,2013,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013092908,2013-09-29,4,1,12,TEN,NYJ,1,10,29,,0,,0,"(1:12) 4-R.FITZPATRICK KNEELS TO TEN 28 FOR -1 YARDS.",0,,,2013,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,29,OWN,0,,0,,0
2013092908,2013-09-29,4,0,38,TEN,NYJ,2,11,28,,0,,0,"(:38) 4-R.FITZPATRICK KNEELS TO TEN 27 FOR -1 YARDS.",0,,,2013,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,28,OWN,0,,0,,0
2013092908,2013-09-29,4,0,0,,NYJ,0,0,0,,1,,0,"END GAME",0,,,2013,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013092910,2013-09-29,2,0,27,,WAS,0,0,0,,1,,0,"TIMEOUT #2 BY OAK AT 00:27.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013092910,2013-09-29,4,0,0,,WAS,0,0,0,,1,,0,"END GAME",0,,,2013,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013092912,2013-09-29,4,0,35,NE,ATL,1,10,10,,0,,0,"(:35) 12-T.BRADY KNEELS TO NE 9 FOR -1 YARDS.",0,,,2013,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,10,OWN,0,,0,,0
2013092912,2013-09-29,4,0,28,,NE,0,0,0,,1,,0,"TIMEOUT #3 BY ATL AT 00:28.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013092912,2013-09-29,4,0,28,NE,ATL,2,11,9,,0,,0,"(:28) 12-T.BRADY KNEELS TO NE 8 FOR -1 YARDS.",0,,,2013,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,9,OWN,0,,0,,0
2013092912,2013-09-29,4,0,0,,NE,0,0,0,,1,,0,"END GAME",0,,,2013,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
